comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.32614696
321,3,0,0,0.2689,0.066828534
819,1,1,1,0.9526,1.0051651
746,1,0,0,0.0474,0.19904765
397,8,1,0,0.9526,0.24000852
397,2,0,0,0.0474,0.066133596
264,17,1,1,0.9526,0.59490335
85,1,0,0,0.0474,0.22789262
202,2,1,0,0.9526,0.15750688
282,1,0,0,0.0474,0.12893307
339,6,1,1,0.9526,0.9169512
264,9,0,0,0.0474,0.2368587
628,1,0,0,0.0474,0.08481812
559,1,0,0,0.0474,0.115647785
121,2,1,1,0.9526,0.9676114
342,4,0,0,0.0474,0.08556069
791,1,0,0,0.0474,0.11161915
662,1,0,0,0.2689,0.39607874
578,1,1,0,0.9526,0.18591025
250,10,0,0,0.0474,0.08325868
560,4,1,1,0.9526,0.99583703
250,11,0,1,0.0474,0.58618337
190,3,1,1,0.9526,0.8363777
616,2,0,1,0.2689,0.82409877
48,1,1,1,0.9526,1.046529
50,1,0,0,0.0474,0.088813074
685,1,0,0,0.0474,0.04618538
174,1,0,0,0.0474,0.11632669
244,2,1,1,0.9526,0.9508018
622,1,0,0,0.0474,0.114099294
354,5,0,0,0.0474,0.4553097
164,3,0,1,0.0474,0.9462456
663,1,0,0,0.0474,0.13936326
725,1,0,0,0.0474,0.21215379
647,2,0,0,0.0474,0.111587994
507,3,0,0,0.0474,0.26887327
237,1,1,0,0.9526,0.23744307
553,2,0,0,0.2689,0.34123912
253,4,0,1,0.0474,0.5906143
518,1,0,1,0.2689,0.83277255
693,3,0,0,0.0474,0.37803522
714,1,0,0,0.0474,0.10129938
284,1,0,0,0.2689,0.20146337
760,2,0,1,0.2689,0.6406817
606,2,0,0,0.2689,0.3057869
780,1,0,0,0.2689,0.23461606
121,4,0,1,0.0474,0.5491648
250,2,0,0,0.0474,0.17407571
307,3,0,1,0.2689,0.84104544
604,5,1,1,0.9526,0.91141397
250,9,0,0,0.0474,0.09369262
250,14,0,0,0.0474,0.17748442
264,3,0,0,0.0474,0.12655808
680,1,0,0,0.0474,0.114067845
366,5,0,0,0.0474,0.06899435
524,1,0,0,0.0474,0.4782617
32,5,0,1,0.0474,0.7875169
741,3,1,0,0.9526,0.46785748
267,1,1,1,0.9526,0.81300056
362,1,0,1,0.0474,0.8983671
267,2,0,1,0.0474,0.85091585
11,2,0,0,0.0474,0.23163162
179,1,0,0,0.0474,0.18205306
210,1,0,0,0.0474,0.43069005
377,1,0,0,0.0474,0.25491905
468,1,0,0,0.0474,0.046096288
794,2,1,1,0.9526,0.9965939
692,1,0,0,0.2689,0.08333383
103,1,0,0,0.0474,0.26789317
63,1,1,1,0.9526,0.9028577
